n_solicitado,modelo,ejemplos_recuperados,largo_promedio,largo_minimo,largo_maximo,ejemplos_esperados,ejemplos_faltantes,porcentaje_recuperado
10,llama3.2:1b,30,12.366666666666667,8,19,30,0,100.0
10,mistral:latest,30,10.333333333333334,5,18,30,0,100.0
10,phi3:mini,9,16.333333333333332,12,20,30,21,30.0
20,llama3.2:1b,40,16.225,9,28,60,20,66.66666666666666
20,mistral:latest,60,7.833333333333333,5,14,60,0,100.0
20,phi3:mini,49,10.46938775510204,5,17,60,11,81.66666666666667
50,llama3.2:1b,110,18.509090909090908,12,24,150,40,73.33333333333333
50,mistral:latest,140,6.285714285714286,3,10,150,10,93.33333333333333
50,phi3:mini,59,13.271186440677965,7,25,150,91,39.33333333333333
